day,delta_ratio,delta,volume,tape_move,long_pnl,short_pnl
2025-08-18,0.003760610293327603,35.0,9307.0,16.25,36,-44
2025-08-19,-0.06724954462659381,-923.0,13725.0,-70.0,-44,36
2025-08-21,0.004185351270553065,56.0,13380.0,-21.25,36,-44
2025-08-22,0.006150061500615006,60.0,9756.0,-18.75,-44,36
2025-08-26,0.053051102648126826,599.0,11291.0,30.0,36,-44
2025-08-27,0.037446504992867335,420.0,11216.0,15.0,-44,36
2025-08-29,0.0429372590255871,490.0,11412.0,-10.0,-44,36
2025-09-04,0.02949671772428884,337.0,11425.0,25.0,36,-44
2025-09-05,-0.021087541455478382,-337.0,15981.0,-21.25,36,-44
2025-09-08,-0.03163208961110673,-401.0,12677.0,7.5,36,-44
2025-09-09,0.028626624517035477,326.0,11388.0,7.5,-44,36
2025-09-10,-0.0951549259331134,-1471.0,15459.0,-60.0,36,-44
2025-09-11,-0.017762149490577948,-197.0,11091.0,3.75,36,-44
2025-09-12,0.0017838030681412772,20.0,11212.0,-10.0,36,-44
2025-09-15,0.0224060668734919,130.0,5802.0,31.25,-44,36
2025-09-16,-0.03346778589338276,-307.0,9173.0,-1.25,-44,36
2025-09-17,0.0003697769012695674,3.0,8113.0,-2.5,-44,36
