fecha,EntryTime_NY,Side,score total,Cvd_Pullback_Label,Cvd_Worst_Label,Dynamic_Alarm_Triggered,Result_Label,result TP SL BE,MFE_ticks,MAE_ticks,TP_ticks,SL_ticks,sim_TP100_SL40,result_bucket,source_file
2025-03-12,09:33:11,BUY,8,Excelente,Advertencia,FALSE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2025-03-12_NY.csv
2025-03-17,09:32:54,BUY,8,Excelente,Excelente,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2025-03-17_NY.csv
2025-03-18,09:35:09,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+30,30,15,30,60,30.0,positive before +100,score_trade_result_2025-03-18_NY.csv
2025-03-20,09:32:16,BUY,6,Excelente,Excelente,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2025-03-20_NY.csv
2025-03-21,09:31:08,BUY,6,Excelente,Riesgo de reversion,FALSE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2025-03-21_NY.csv
2025-04-01,09:32:30,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+60,60,10,60,60,60.0,positive before +100,score_trade_result_2025-04-01_NY.csv
2025-04-07,09:31:54,BUY,7,Excelente,Riesgo de reversion,TRUE,TP,+41,45,15,41,41,41.0,positive before +100,score_trade_result_2025-04-07_NY.csv
2025-04-08,09:31:07,SELL,6,Excelente,Excelente,FALSE,TP,+60,60,0,60,60,60.0,positive before +100,score_trade_result_2025-04-08_NY.csv
2025-04-14,09:35:40,SELL,6,Excelente,Riesgo de reversion,TRUE,TP,+61,65,20,61,61,61.0,positive before +100,score_trade_result_2025-04-14_NY.csv
2025-04-21,09:37:04,SELL,9,Excelente,Riesgo de reversion,TRUE,TP,+30,30,20,30,60,30.0,positive before +100,score_trade_result_2025-04-21_NY.csv
2025-05-02,09:36:54,SELL,6,Excelente,Riesgo de reversion,TRUE,TP,+20,20,10,20,20,20.0,positive before +100,score_trade_result_2025-05-02_NY.csv
2025-05-06,09:32:19,BUY,6,Excelente,Riesgo de reversion,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2025-05-06_NY.csv
2025-05-08,09:32:20,SELL,8,Excelente,Normal,FALSE,TP,+20,20,0,20,20,20.0,positive before +100,score_trade_result_2025-05-08_NY.csv
2025-05-12,09:31:53,SELL,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,5,20,20,20.0,positive before +100,score_trade_result_2025-05-12_NY.csv
2025-05-13,09:32:07,BUY,8,Excelente,Excelente,FALSE,TP,+21,25,15,21,21,21.0,positive before +100,score_trade_result_2025-05-13_NY.csv
2025-05-14,09:32:15,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+26,30,5,26,26,26.0,positive before +100,score_trade_result_2025-05-14_NY.csv
2025-05-19,09:36:30,BUY,8,Excelente,Riesgo de reversion,TRUE,TP,+20,20,15,20,20,20.0,positive before +100,score_trade_result_2025-05-19_NY.csv
